customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
afonso claudio,11,11,100.0,4.7272727272727275,11,-20.075987175514054,-41.12398801850307
barroso,11,10,90.91,3.6363636363636362,11,-21.191206592695412,-43.97510580556287
mata de sao joao,11,10,90.91,4.181818181818182,11,-12.527841538945589,-38.26425639748103
belo jardim,11,10,90.91,4.2727272727272725,11,-8.46834442198707,-36.62115667954435
araquari,11,9,81.82,4.2727272727272725,11,-26.407378348238257,-48.75811272641001
araripina,11,11,100.0,3.727272727272727,11,-7.577678685814366,-40.501362066517
sidrolandia,11,10,90.91,4.090909090909091,11,-20.935106156257103,-54.9635753184007
ouroeste,11,10,90.91,3.8181818181818183,11,-20.00168960671946,-50.375282349761356
floresta,11,9,81.82,3.272727272727273,11,-12.250954894867379,-42.3477099795323
ibaiti,11,11,100.0,4.090909090909091,11,-23.84097490641716,-50.19419124100193
encantado,11,11,100.0,4.636363636363637,11,-29.236104755527442,-51.8751846997003
canarana,11,9,81.82,3.727272727272727,11,-13.276465232765174,-50.74240216479976
embu,11,11,100.0,4.545454545454546,11,-23.65432667441547,-46.821726622756664
cajazeiras,11,11,100.0,4.0,11,-6.887745156328404,-38.55894250887899
prata,11,11,100.0,4.0,11,-18.373754093386886,-47.97142154059558
goioere,11,11,100.0,4.636363636363637,11,-24.18598978544713,-53.02543705156087
varzea da palma,11,11,100.0,4.454545454545454,11,-17.598991232888153,-44.750267283959175
tanabi,11,11,100.0,4.3,10,-20.623521591055777,-49.65195844976547
limoeiro do norte,11,10,90.91,3.6363636363636362,11,-5.1634832018087975,-38.10503994263532
dois corregos,11,11,100.0,4.545454545454546,11,-22.368930695216676,-48.38605083828996
astolfo dutra,11,10,90.91,4.636363636363637,11,-21.314030738133884,-42.864233964033346
sao lourenco da mata,11,9,81.82,4.0,11,-7.998940591272509,-35.03623065997841
nova andradina,11,10,90.91,4.0,11,-22.247795402944273,-53.34735455657627
bacabal,11,11,100.0,4.0,11,-4.226384665835355,-44.78906394035817
pompeu,11,10,90.91,4.090909090909091,11,-19.22360510823788,-45.00047475748137
parobe,11,11,100.0,4.7272727272727275,11,-29.631744103266666,-50.83481164190493
carandai,11,11,100.0,4.1,10,-20.949625817717443,-43.804211698019074
abaetetuba,11,8,72.73,3.5454545454545454,11,-1.7230241817101852,-48.88106537387817
brejo santo,10,8,80.0,3.5,10,-7.48940318775888,-38.98429194756268
papucaia,10,9,90.0,4.5,10,-22.60229861406437,-42.761826065548924
rio das pedras,10,9,90.0,4.3,10,-22.842321876787764,-47.60705361138728
buri,10,9,90.0,4.4,10,-23.799252900703568,-48.60001796917145
guarabira,10,8,80.0,4.0,9,-6.85209256062919,-35.4909215116945
urupes,10,10,100.0,4.4,10,-21.20371298748733,-49.29294770755018
itapipoca,10,9,90.0,3.8,10,-3.496311470859897,-39.58093232562327
urussanga,10,9,90.0,4.3,10,-28.523681116023674,-49.31843746844079
sombrio,10,7,70.0,3.3,10,-29.108465252964574,-49.63523203121822
montanha,10,9,90.0,4.222222222222222,9,-18.13113299686834,-40.35711188194904
gravata,10,9,90.0,4.2,10,-8.203069838787513,-35.567789158855646
bezerros,10,10,100.0,4.6,10,-8.236645735574934,-35.754820871795225
duartina,10,10,100.0,4.5,10,-22.415172081968173,-49.40628836201711
planaltina,10,9,90.0,4.4,10,-15.468222009275092,-47.60871015849882
eloi mendes,10,9,90.0,4.3,10,-21.608719335217607,-45.56648975327391
escada,10,8,80.0,4.1,10,-8.366340905422762,-35.24120297027231
sumidouro,10,6,60.0,4.0,10,-22.055331228832138,-42.673564014326516
serra talhada,10,10,100.0,4.6,10,-7.988210284936521,-38.2940628925444
piracanjuba,10,9,90.0,3.8,10,-17.30349906583519,-49.02636879088997
taua,10,10,100.0,4.7,10,-6.002053911342161,-40.293258855592434
igarassu,10,8,80.0,3.7,10,-7.848283252859435,-34.90988009386023
nova xavantina,10,10,100.0,4.3,10,-14.66646434914308,-52.353931091841375
palestina,10,10,100.0,4.6,10,-19.777260776415822,-48.74284191873031
fartura,10,8,80.0,3.888888888888889,9,-23.388650818146584,-49.51065070949627
faxinal dos guedes,10,8,80.0,4.0,10,-26.850256635317304,-52.25917760328908
